SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2023GQ0110496,1,98,37,1,2,1,14,25000,163,4140,1,1,1,5,1,04263,1019518
2023GQ0110568,1,12,42,2,1,1,21,16100,102,0,0,6,1,5,1,04303,1019518
2023GQ0110660,1,43,80,2,2,1,16,0,0,0,0,6,4,2,2,04408,1019518
2023GQ0110664,1,13,55,1,1,1,1,22700,148,0,0,6,1,5,1,04318,1019518
2023GQ0110694,1,23,71,1,1,1,1,19500,137,0,0,6,1,5,1,04411,1019518
2023GQ0110706,1,60,54,2,8,3,20,38300,242,4600,2,1,1,5,1,04205,1019518
2023GQ0110708,1,78,15,2,8,9,11,0,0,0,0,0,5,5,2,04412,1019518
2023GQ0110801,1,55,61,1,1,1,16,0,0,0,0,6,5,3,2,04313,1019518
2023GQ0110863,1,21,20,1,6,1,19,22900,0,4540,2,1,5,5,2,04109,1019518
2023GQ0110887,1,83,74,1,1,1,16,19500,134,0,0,6,1,5,1,04263,1019518
2023GQ0110910,1,34,88,1,1,1,16,14700,0,0,0,6,1,1,1,04302,1019518
2023GQ0110997,1,85,64,2,2,1,13,7200,47,0,0,6,1,5,1,04501,1019518
2023GQ0110998,1,34,33,2,2,1,14,24290,154,4010,1,3,1,3,1,04207,1019518
2023GQ0111000,1,9,54,2,2,1,1,16200,105,0,0,6,1,5,1,04209,1019518
2023GQ0111016,1,61,33,1,2,1,14,0,0,0,0,6,1,5,1,04307,1019518
2023GQ0111028,1,28,66,1,2,1,14,25000,178,0,0,6,1,3,1,04414,1019518
2023GQ0111033,1,38,91,2,1,1,21,26400,0,0,0,6,4,2,2,04313,1019518
2023GQ0111071,1,59,19,2,1,1,19,4750,0,4600,6,6,1,5,1,04302,1019518
2023GQ0111155,1,68,52,1,9,5,16,0,0,0,0,6,5,1,2,04204,1019518
2023GQ0111262,1,10,76,1,1,1,22,41600,286,2040,2,1,1,5,1,04211,1019518
2023GQ0111280,1,39,28,1,2,1,14,5400,34,4500,6,6,1,5,1,04104,1019518
2023GQ0111311,1,7,16,1,2,2,13,0,0,0,0,6,5,5,2,04312,1019518
2023GQ0111333,1,57,70,1,2,1,15,0,0,0,0,6,1,1,1,04212,1019518
2023GQ0111360,1,24,63,1,1,1,1,16300,104,0,0,6,1,5,1,04210,1019518
2023GQ0111497,1,25,89,2,8,24,16,0,0,0,0,6,2,3,1,04207,1019518
2023GQ0111634,1,38,19,1,1,1,16,0,0,0,0,6,5,5,2,04109,1019518
2023GQ0111647,1,86,1,2,2,1,0,0,0,0,0,0,1,5,1,04165,1019518
2023GQ0111667,1,10,61,1,1,1,17,16200,106,6220,1,6,1,5,1,04309,1019518
2023GQ0111733,1,65,75,2,6,1,22,25300,0,0,0,6,4,1,2,04403,1019518
2023GQ0111760,1,87,27,2,8,8,9,2400,15,0,0,6,5,5,2,04221,1019518
2023GQ0111772,1,51,83,2,8,3,16,0,0,0,0,6,2,2,1,04211,1019518
2023GQ0111773,1,11,67,1,2,1,16,14400,101,0,0,6,1,5,1,04318,1019518
2023GQ0111797,1,5,29,1,1,1,17,16200,104,0,0,6,1,5,1,04318,1019518
2023GQ0111830,1,3,42,1,2,1,17,2900,19,4020,1,3,1,5,1,04205,1019518
2023GQ0111925,1,13,61,1,1,1,17,3400,22,6220,1,6,1,5,1,04309,1019518
