SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023HU0024882,1,38,3,1
2023HU0024882,2,76,3,1
2023HU0025714,1,501,1,1
2023HU0025714,2,501,1,1
2023HU0025714,3,501,1,1
2023HU0026063,1,98,3,1
2023HU0026442,1,501,1,1
2023HU0026442,2,501,1,1
2023HU0026442,3,501,1,1
2023HU0026442,4,501,1,1
2023HU0026837,1,30,3,1
2023HU0027110,1,281,3,1
2023HU0027155,1,501,3,1
2023HU0027340,1,501,2,1
2023HU0028325,1,501,3,1
2023HU0028325,2,501,3,1
2023HU0028325,3,501,3,1
2023HU0028325,4,501,3,1
2023HU0028458,1,332,2,1
2023HU0028458,2,332,2,1
2023HU0028458,3,332,2,1
2023HU0028458,4,332,2,1
2023HU0028487,1,501,2,1
2023HU0028487,2,501,2,1
2023HU0028487,3,501,2,1
2023HU0028609,1,501,3,1
2023HU0028992,1,501,1,1
2023HU0028992,2,501,1,1
2023HU0028992,3,501,1,1
2023HU0028992,4,501,1,1
2023HU0029289,1,501,3,1
2023HU0029289,2,6,3,1
2023HU0029289,3,501,3,1
2023HU0029857,1,501,2,1
2023HU0029876,1,501,1,1
2023HU0029876,2,501,1,1
2023HU0029876,3,501,1,1
2023HU0029876,4,501,1,1
2023HU0029927,1,501,3,1
2023HU0029927,2,86,3,1
2023HU0030774,1,9,3,1
2023HU0030774,2,51,3,1
2023HU0030774,3,394,3,1
2023HU0030774,4,137,3,1
2023HU0031073,1,63,3,1
2023HU0031073,2,501,3,1
2023HU0032709,1,501,1,1
2023HU0032709,2,501,1,1
2023HU0032709,3,501,1,1
2023HU0032709,4,501,1,1
2023HU0033001,1,168,4,1
2023HU0033001,2,168,4,1
2023HU0033001,3,168,4,1
2023HU0033001,4,168,4,1
2023HU0033001,5,168,4,1
2023HU0033192,1,419,3,1
2023HU0033192,2,419,3,1
2023HU0033192,3,419,3,1
2023HU0033192,4,419,3,1
2023HU0033192,5,419,3,1
2023HU0033773,1,87,3,1
2023HU0034033,1,501,3,1
2023HU0035594,1,167,3,1
2023HU0035621,1,351,2,1
2023HU0035621,2,351,2,1
2023HU0035621,3,351,2,1
2023HU0036146,1,501,2,1
2023HU0036146,2,501,2,1
2023HU0036146,3,45,2,1
2023HU0036146,4,0,2,1
2023HU0036720,1,259,3,1
2023HU0037104,1,501,1,1
2023HU0037117,1,108,3,1
2023HU0037117,2,108,3,1
2023HU0037204,1,501,3,1
2023HU0037204,2,501,3,1
2023HU0037204,3,501,3,1
2023HU0037204,4,501,3,1
2023HU0037204,5,501,3,1
2023HU0037987,1,232,3,1
2023HU0037987,2,232,3,1
2023HU0037987,3,0,3,1
2023HU0038407,1,501,3,1
2023HU0038407,2,501,3,1
2023HU0039072,1,501,1,1
2023HU0039072,2,501,1,1
2023HU0039072,3,501,1,1
2023HU0039834,1,501,2,1
2023HU0039834,2,501,2,1
2023HU0040457,1,128,3,1
2023HU0040755,1,501,1,1
2023HU0040755,2,501,1,1
2023HU0040755,3,501,1,1
2023HU0041001,1,501,3,1
2023HU0041001,2,501,3,1
2023HU0041001,3,501,3,1
2023HU0041001,4,501,3,1
2023HU0041071,1,177,3,1
2023HU0041071,2,382,3,1
2023HU0041071,3,446,3,1
2023HU0041148,1,96,3,1
2023HU0041327,1,501,3,1
2023HU0041967,1,501,3,1
2023HU0042165,1,501,2,1
2023HU0042165,2,501,2,1
2023HU0042165,3,501,2,1
2023HU0042165,4,501,2,1
2023HU0042622,1,501,1,1
2023HU0042622,2,501,1,1
2023HU0042869,1,501,2,1
2023HU0042869,2,492,2,1
2023HU0043245,1,501,1,1
2023HU0043245,2,501,1,1
2023HU0043245,3,501,1,1
2023HU0043734,1,501,1,1
2023HU0043734,2,501,1,1
2023HU0044520,1,11,3,1
2023HU0044520,2,11,3,1
2023HU0045253,1,501,1,1
2023HU0045253,2,501,1,1
2023HU0045253,3,501,1,1
2023HU0045523,1,483,3,1
2023HU0045523,2,483,3,1
2023HU0045523,3,483,3,1
2023HU0045913,1,501,2,1
2023HU0045913,2,158,2,1
2023HU0046368,1,76,3,1
2023HU0046428,1,501,3,1
2023HU0046856,1,339,3,1
2023HU0046856,2,339,3,1
2023HU0046856,3,339,3,1
2023HU0046856,4,339,3,1
2023HU0046856,5,339,3,1
2023HU0046856,6,339,3,1
2023HU0046856,7,306,3,1
2023HU0046856,8,287,3,1
2023HU0046856,9,57,3,1
2023HU0046856,10,0,3,1
2023HU0046963,1,0,3,1
2023HU0047301,1,65,4,1
2023HU0047888,1,501,1,1
2023HU0047915,1,344,2,1
2023HU0047915,2,344,2,1
2023HU0048201,1,501,1,1
2023HU0048518,1,406,2,1
2023HU0048530,1,501,3,1
2023HU0049359,1,501,3,1
2023HU0049737,1,209,3,1
2023HU0050304,1,99,3,1
2023HU0050726,1,501,3,1
2023HU0050726,2,501,3,1
2023HU0051056,1,501,3,1
2023HU0051153,1,501,3,1
2023HU0051380,1,501,3,1
2023HU0051383,1,320,3,1
2023HU0051383,2,501,3,1
2023HU0051501,1,177,3,1
2023HU0051501,2,501,3,1
2023HU0051501,3,135,3,1
2023HU0051998,1,501,3,1
2023HU0052018,1,501,1,1
2023HU0052020,1,158,3,1
2023HU0052020,2,158,3,1
2023HU0052020,3,158,3,1
2023HU0052356,1,131,3,1
2023HU0052356,2,131,3,1
2023HU0052356,3,131,3,1
2023HU0052356,4,131,3,1
2023HU0052419,1,501,3,1
2023HU0052419,2,501,3,1
2023HU0052634,1,501,1,1
2023HU0052634,2,501,1,1
2023HU0052634,3,501,1,1
2023HU0052634,4,501,1,1
2023HU0052634,5,501,1,1
2023HU0053184,1,16,3,1
2023HU0053371,1,501,1,1
2023HU0053371,2,501,1,1
2023HU0053371,3,501,1,1
2023HU0054124,1,501,1,1
2023HU0054215,1,501,3,1
2023HU0055308,1,229,2,1
2023HU0055308,2,229,2,1
2023HU0056103,1,501,4,1
2023HU0056103,2,501,4,1
2023HU0056103,3,501,4,1
2023HU0056103,4,501,4,1
2023HU0056305,1,501,3,1
2023HU0056305,2,255,3,1
2023HU0056530,1,0,2,1
2023HU0056726,1,501,3,1
2023HU0056726,2,501,3,1
2023HU0057325,1,501,1,1
2023HU0057325,2,501,1,1
2023HU0057325,3,501,1,1
2023HU0057325,4,501,1,1
2023HU0057448,1,50,2,1
2023HU0057448,2,50,2,1
2023HU0057448,3,50,2,1
2023HU0057771,1,501,1,1
2023HU0058018,1,501,1,1
2023HU0058018,2,501,1,1
2023HU0058839,1,377,1,1
2023HU0058839,2,377,1,1
2023HU0058839,3,377,1,1
2023HU0058839,4,377,1,1
2023HU0058839,5,377,1,1
2023HU0059348,1,260,1,1
2023HU0059348,2,260,1,1
2023HU0059527,1,482,3,1
2023HU0059715,1,494,1,1
2023HU0059715,2,494,1,1
2023HU0059715,3,494,1,1
2023HU0059715,4,494,1,1
2023HU0060605,1,501,1,1
2023HU0060605,2,501,1,1
2023HU0061253,1,501,1,1
2023HU0061253,2,0,1,1
2023HU0061253,3,501,1,1
2023HU0061666,1,501,3,1
2023HU0061666,2,501,3,1
2023HU0061666,3,501,3,1
2023HU0062023,1,245,3,1
2023HU0062023,2,245,3,1
2023HU0062023,3,245,3,1
2023HU0062023,4,245,3,1
